model,accuracy,balanced_accuracy,precision_human,recall_human,f1_human,false_alarms,missed_human_windows,fit_seconds,predict_seconds
logistic_regression,0.9020100502512562,0.9037330087238791,0.9346733668341709,0.8773584905660378,0.9051094890510949,13,26,0.010205699945800006,0.00048200006131082773
random_forest,0.7487437185929648,0.7374467437614121,0.7043795620437956,0.910377358490566,0.7942386831275721,81,19,1.2178255000617355,0.021994699956849217
