threshold,accuracy,balanced_accuracy,precision_human,recall_human,f1_human,empty_accuracy,false_alarms,missed_human_windows,detected_human_windows
0.01,0.7821428571428571,0.7789855072463768,0.6995073891625616,1.0,0.8231884057971014,0.5579710144927537,61,0,142
0.02,0.7821428571428571,0.7789855072463768,0.6995073891625616,1.0,0.8231884057971014,0.5579710144927537,61,0,142
0.03,0.7821428571428571,0.7789855072463768,0.6995073891625616,1.0,0.8231884057971014,0.5579710144927537,61,0,142
0.04,0.7821428571428571,0.7789855072463768,0.6995073891625616,1.0,0.8231884057971014,0.5579710144927537,61,0,142
0.05,0.7821428571428571,0.7789855072463768,0.6995073891625616,1.0,0.8231884057971014,0.5579710144927537,61,0,142
0.06,0.7821428571428571,0.7789855072463768,0.6995073891625616,1.0,0.8231884057971014,0.5579710144927537,61,0,142
0.07,0.7857142857142857,0.7826086956521738,0.7029702970297029,1.0,0.8255813953488372,0.5652173913043478,60,0,142
0.08,0.7857142857142857,0.7826086956521738,0.7029702970297029,1.0,0.8255813953488372,0.5652173913043478,60,0,142
0.09,0.7928571428571428,0.7898550724637681,0.71,1.0,0.8304093567251462,0.5797101449275363,58,0,142
0.1,0.7928571428571428,0.7898550724637681,0.71,1.0,0.8304093567251462,0.5797101449275363,58,0,142
0.11,0.8071428571428572,0.8043478260869565,0.7244897959183674,1.0,0.8402366863905325,0.6086956521739131,54,0,142
0.12,0.8178571428571428,0.8152173913043479,0.7357512953367875,1.0,0.8477611940298507,0.6304347826086957,51,0,142
0.13,0.8285714285714286,0.8260869565217391,0.7473684210526316,1.0,0.8554216867469879,0.6521739130434783,48,0,142
0.14,0.85,0.8478260869565217,0.7717391304347826,1.0,0.8711656441717791,0.6956521739130435,42,0,142
0.15,0.8678571428571429,0.8659420289855073,0.7932960893854749,1.0,0.8847352024922118,0.7318840579710145,37,0,142
0.16,0.875,0.8732904674423352,0.8057142857142857,0.9929577464788732,0.889589905362776,0.7536231884057971,34,1,141
0.17,0.8821428571428571,0.8805368442539294,0.815028901734104,0.9929577464788732,0.8952380952380953,0.7681159420289855,32,1,141
0.18,0.8964285714285715,0.8950295978771178,0.834319526627219,0.9929577464788732,0.9067524115755627,0.7971014492753623,28,1,141
0.19,0.9107142857142857,0.9095223515003061,0.8545454545454545,0.9929577464788732,0.9185667752442996,0.8260869565217391,24,1,141
0.2,0.925,0.9240151051234946,0.8757763975155279,0.9929577464788732,0.9306930693069307,0.855072463768116,20,1,141
0.21,0.9357142857142857,0.934884670340886,0.8924050632911392,0.9929577464788732,0.94,0.8768115942028986,17,1,141
0.22,0.9642857142857143,0.9638701775872627,0.94,0.9929577464788732,0.9657534246575342,0.9347826086956522,9,1,141
0.23,0.9678571428571429,0.9675954276382935,0.9523809523809523,0.9859154929577465,0.9688581314878892,0.9492753623188406,7,2,140
0.24,0.9714285714285714,0.9713206776893244,0.9652777777777778,0.9788732394366197,0.972027972027972,0.9637681159420289,5,3,139
0.25,0.9714285714285714,0.9713206776893244,0.9652777777777778,0.9788732394366197,0.972027972027972,0.9637681159420289,5,3,139
0.26,0.9714285714285714,0.971422739334558,0.971830985915493,0.971830985915493,0.971830985915493,0.9710144927536232,4,4,138
0.27,0.9714285714285714,0.9715248009797919,0.9785714285714285,0.9647887323943662,0.9716312056737588,0.9782608695652174,3,5,137
0.28,0.975,0.975147989385589,0.9856115107913669,0.9647887323943662,0.9750889679715302,0.9855072463768116,2,5,137
0.29,0.975,0.975147989385589,0.9856115107913669,0.9647887323943662,0.9750889679715302,0.9855072463768116,2,5,137
0.3,0.975,0.975147989385589,0.9856115107913669,0.9647887323943662,0.9750889679715302,0.9855072463768116,2,5,137
0.31,0.9785714285714285,0.978771177791386,0.9927536231884058,0.9647887323943662,0.9785714285714285,0.9927536231884058,1,5,137
0.32,0.9821428571428571,0.9823943661971831,1.0,0.9647887323943662,0.982078853046595,1.0,0,5,137
0.33,0.9821428571428571,0.9823943661971831,1.0,0.9647887323943662,0.982078853046595,1.0,0,5,137
0.34,0.9785714285714285,0.9788732394366197,1.0,0.9577464788732394,0.9784172661870504,1.0,0,6,136
0.35,0.975,0.9753521126760563,1.0,0.9507042253521126,0.9747292418772563,1.0,0,7,135
0.36,0.975,0.9753521126760563,1.0,0.9507042253521126,0.9747292418772563,1.0,0,7,135
0.37,0.9714285714285714,0.971830985915493,1.0,0.9436619718309859,0.9710144927536232,1.0,0,8,134
0.38,0.9678571428571429,0.9683098591549295,1.0,0.9366197183098591,0.9672727272727273,1.0,0,9,133
0.39,0.9678571428571429,0.9683098591549295,1.0,0.9366197183098591,0.9672727272727273,1.0,0,9,133
0.4,0.9678571428571429,0.9683098591549295,1.0,0.9366197183098591,0.9672727272727273,1.0,0,9,133
0.41,0.9678571428571429,0.9683098591549295,1.0,0.9366197183098591,0.9672727272727273,1.0,0,9,133
0.42,0.9642857142857143,0.9647887323943662,1.0,0.9295774647887324,0.9635036496350365,1.0,0,10,132
0.43,0.9642857142857143,0.9647887323943662,1.0,0.9295774647887324,0.9635036496350365,1.0,0,10,132
